,Title,Description,Date Created,Origin,Destination,Author,Recipient,Start,End
3,"1802 July 11, to Dear Son, Sansom Square Philadelphia",,1802-07-11,Lancaster (Pa.),Philadelphia (Pa.),"Cope, Caleb, 1736-1824","Cope, Thomas P. (Thomas Pim), 1768-1854",Lancaster (Pa.),Philadelphia (Pa.)
5,"1805 January 23, Lancaster, to Dear Son, 19 N Second Street Philadelphia",,1805-01-23,Lancaster (Pa.),Philadelphia (Pa.),"Cope, Caleb, 1736-1824","Cope, Thomas P. (Thomas Pim), 1768-1854",Lancaster (Pa.),Philadelphia (Pa.)
6,"1805 June 3, Lancaster, to Dear Son, 19 N Second Street Philadelphia",,1805-06-03,Lancaster (Pa.),Philadelphia (Pa.),"Cope, Caleb, 1736-1824","Cope, Thomas P. (Thomas Pim), 1768-1854",Lancaster (Pa.),Philadelphia (Pa.)
8,"1850 September 29, Woodbourne, to My Dear Cousin, Philadelphia",,1850-09-29,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.),"Cope, Clementine, 1835-1903","Cope, Ruthanna, 1834-1879","Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
9,"1852 February 26, Dimock PA, to My Dear Sister, Philadelphia PA",,1852-02-26,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.),"Cope, Caroline E. (Caroline Elizabeth), 1840-1944","Cope, Clementine, 1835-1903","Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
10,"1852 July 12, Woodbourne, to Annie, Philadelphia",,1852-07-02,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.),"Cope, Clementine, 1835-1903","Cope, Ruthanna, 1834-1879","Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
12,"1852 August 6, Westtown, to Sister",,1852-08-06,Westtown (Pa.),Dimock (Pa. : Township),"Cope, Edgar, 1838-1895","Cope, Clementine, 1835-1903",Westtown (Pa.),Dimock (Pa. : Township)
16,"1854 March 2, Philadelphia, to My dear Clemmy, Susquehannah County PA",,1854-03-02,Philadelphia (Pa.),Susquehanna County (Pa.),"Cope, Elizabeth Waln Stokes, 1823-1902","Cope, Clementine, 1835-1903",Philadelphia (Pa.),Susquehanna County (Pa.)
17,"1854 March 26, West Town, to Cousin",Edgar hs recently learned of his acceptance to Haverford College.,1854-03-26,Westtown (Pa.),Philadelphia (Pa.),"Cope, Edgar, 1838-1895","Cope, Ruthanna, 1834-1879",Westtown (Pa.),Philadelphia (Pa.)
29,"1858 July 25, Awbury, to My dear girls, Woodbourne",,1858-07-25,"Awbury (Philadelphia, Pa.)","Woodbourne (Susquehanna County, Pa.)","Cope, Elizabeth Waln Stokes, 1823-1902","Cope, Clementine, 1835-1903|Cope, Ruthanna, 1834-1879","Awbury (Philadelphia, Pa.)","Woodbourne (Susquehanna County, Pa.)"
54,"1863 August 30, Catskill, to My dear Mother","The Mount Washington mentioned in the letter is likely not the Mount Washington located in New Hampshire, as it lies too far to be seen from the Catskills.",1863-08-30,Catskill (N.Y.),Philadelphia (Pa.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Anna Stewardson Brown, 1822-1916",Catskill (N.Y.),Philadelphia (Pa.)
57,"1864 August 31, Springfield, Mass, to Papa and Mama","This letter is edited in ink, probably in E.S.C.'s own hand at a later date.",1864-08-31,Springfield (Mass.),Philadelphia (Pa.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Francis Reeve, 1821-1909",Springfield (Mass.),Philadelphia (Pa.)
59,"1864 October 18, Awbury, to Mama, Newport",,1864-10-18,"Awbury (Philadelphia, Pa.)",Newport (R.I.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Anna Stewardson Brown, 1822-1916","Awbury (Philadelphia, Pa.)",Newport (R.I.)
61,"1865 April 11, B, to Mother and sisters","This letter was dated incorrectly (""64"") and edited in another hand. The correct date is 1865.",1865-04-11,Baltimore (Md.),Philadelphia (Pa.),"Cope, Clementine, 1835-1903","Cope, Susan L. Newbold, 1805-1872",Baltimore (Md.),Philadelphia (Pa.)
63,"1865 April 25, Baltimore, to Net","""64"" written in pencil and is an incorrect date .
Crosshatched, and stricken through, are the words ""They have very nice school books"" — the crosshatching matches the orientation of the text on the front page of the first sheet and is perpendicular to the text on the back page .
crosshatched along left side: ""this? scribble week? & think I should write to""

The lack of connection between subject matters in the first two and second two pages of the letter, the different sizes of the two sheets of paper, and the style of pagination indicate that the sheets may be from two separate letters. Additionally, the letter has no closing .

The town of Athensville is mentioned in the letter. Situated several miles from Philadelphia, Athensville was named in 1811 by Dr. James Anderson, a local landholder. Athensville was rechristened Ardmore (Gaelic for high ground or hill) in 1873 .",1865-04-25,Baltimore (Md.),Philadelphia (Pa.),"Cope, Clementine, 1835-1903","Cope, Annette, 1843-1916",Baltimore (Md.),Philadelphia (Pa.)
64,"1865 May ?, 190 Calvert st, to Mother and sisters","Although this letter was dated May 1865 by the archivist, it was probably written earlier. Because the letter describes Clementine's journey to Baltimore, it may predate her first letter written from Baltimore in March 1865 .

The boardinghouse, run by Miss Talbot, at which Clementine stays is located at 190 Calvert Street.",1865-05,Baltimore (Md.),Philadelphia (Pa.),"Cope, Clementine, 1835-1903","Cope, Susan L. Newbold, 1805-1872",Baltimore (Md.),Philadelphia (Pa.)
65,"1865 May 3, Baltimore, to Mother and Sisters","1865 written in pencil at top right
parenthetical, in pencil, below: ""(To all her Sarah now)""
Some significant portions of the letter are unreadable .",1865-05-03,Baltimore (Md.),Philadelphia (Pa.),"Cope, Clementine, 1835-1903","Cope, Susan L. Newbold, 1805-1872",Baltimore (Md.),Philadelphia (Pa.)
67,"1865 May 10, Baltimore, to Tom","Tom is Clementine's brother, Alexis Thomas Cope. ""Busy"" is a nickname for their brother Edgar Cope .

Both ""My Native Country, Thee"" and ""The Colored Volunteer"" were patriotic songs popular in the mid-nineteenth century. The latter was the regimental song of the Massachusetts 54th Colored Regiment, later portrayed in the film Glory.",1865-05-10,Baltimore (Md.),Haverford (Pa. : Township),"Cope, Clementine, 1835-1903","Cope, Alexis T. (Alexis Thomas), 1850-1883",Baltimore (Md.),Haverford (Pa. : Township)
