Title,Description,Date Created,Genre,Precise Origin,Origin,Precise Destination,Destination,Geographic Subject,Author,Recipient,PID,Subjects (Name),Subjects (Topic),Shelf Locator,Local Identifier,Note,Item URL
"Letter from Thomas Pim Cope to Adam Hodgson, 1820 January 1",,1820-01-01,letters (correspondence),,Philadelphia (Pa.),,,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Hodgson, Adam, 1788-1862",hc:131755,,,"HC.MC-1242, Box 15, Folder 9",mc1242_15_09_58_001,,/object/hc131755
"1820 April 1, to Elenor Cope",,1820-04-01,letters (correspondence),,,,Westtown (Pa.),Mansfield (N.J.),"Author (aut): Drinker, Rachel|Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",hc:96961,"person:Laye, Susan|person:Rodman, B. (Benjamin), 1794-1876|person:Morgan, Susan D.|person:Drinker, John|person:Wells, Anne|person:Drinker, Harry|person:Gordon, Rebecca",,"HC.MC-1170, Box 1",hsc0544,,/object/hc96961
"1820 April 1, to Ellenor","The date at the top of the letter is April 1, 1820.  On the address portion of the letter, the date is given as April 1, 1819.",1820-04-01,letters (correspondence),,,,Westtown (Pa.),Trenton (N.J.),"Author (aut): Drinker, Rachel|Author (aut): Haines, Mary D. (Mary Drinker Cope), 1819-1890","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",hc:94967,"person:Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881",Family,"HC.MC-1170, Box 1",hsc0130,,/object/hc94967
"1820 July 15, Philadelphia, [to Rachel Cope], Salem NJ",,1820-07-15,letters (correspondence),,Philadelphia (Pa.),,Salem (N.J.),Albany (N.Y.)|Bloomsdale (Pa.)|Montréal (Québec)|Bridgeton (N.J.)|Philadelphia (Pa.)|Salem (N.J.),"Author (aut): Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881","Addressee (rcp): Cope, Rachel Reeve, 1794-1863",hc:97122,"person:Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881|person:Cope, Henry, 1793-1865|person:Cope, Alfred, 1806-1875|person:Tyson, Eleanor Cope, 1807-1847",,"HC.MC-1170, Box 2",hsc0722,,/object/hc97122
"1820 August 29, Chester County, to Henry & Rachel, Philadelphia","Letters from two different authors on same page. The first is signed ""Cara"" presumably Caroline R. Yarnall. The second letter, which begins underneath the first, is signed ""Thy Mother, M.C.""",1820-08-29,letters (correspondence),,Chester County (Pa.),36 N Fourth St,Philadelphia (Pa.),Chester County (Pa.)|Philadelphia (Pa.),"Author (aut): Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881|Author (aut): Haines, Mary D. (Mary Drinker Cope), 1819-1890","Addressee (rcp): Cope, Rachel Reeve, 1794-1863|Addressee (rcp): Cope, Henry, 1850-1924",hc:97123,"person:Miner, Charles, 1780-1865|person:Haines, Mary D. (Mary Drinker Cope), 1819-1890|person:Barker, Abigail, 1773-1840|person:Sharpless, Abigail Cope",Country life|Clothing and dress|House furnishings,"HC.MC-1170, Box 2",hsc0723,,/object/hc97123
"1820 November 6, [to Eleanor Cope Tyson], Trenton Boarding School",,1820-11-06,letters (correspondence),,Philadelphia (Pa.),,,,"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",hc:109700,"person:Cope, Alfred, 1806-1875","Library fines|Libraries|Books|Prudence|Responsibility|Letter writing|Child rearing|Love, Maternal|Flower gardening|Influenza|Family","HC.MC-1170, Box 1",hsc1618,,/object/hc109700
"1821, to E.S.","Includes notation: ""written for my dear mother & copied by A.S.C."" (Anna Stewardson Cope)",1821,letters (correspondence),,,,,,"Author (aut): Cope, Anna Stewardson Brown, 1822-1916","Addressee (rcp): Brown, Elizabeth S.",hc:96927,,Marriage|Poetry,"HC.MC-1170, Box 2",hsc0504,,/object/hc96927
"1821, February 22, Trenton, to Brother",,1821-02-22,letters (correspondence),,Trenton (N.J.),36 N Fourth St,Philadelphia (Pa.),Trenton (N.J.)|Philadelphia (Pa.),"Author (aut): Tyson, Eleanor Cope, 1807-1847","Addressee (rcp): Cope, Henry, 1793-1865",hc:94889,"person:Cope, Alfred, 1806-1875",Education,"HC.MC-1170, Box 2",hsc0051,,/object/hc94889
"1821 June 1, Philadelphia, to My dear Elenor",,1821-06-01,letters (correspondence),,Philadelphia (Pa.),,,Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",hc:109701,"person:Cope, William D. (William Drinker), 1798-1873",Parent and child|Faith|God|Bible--Study and teaching,"HC.MC-1170, Box 1",hsc1619,,/object/hc109701
"1821 August 7, Kingwood, [to Henry and Rachel R. Cope], Philadelphia",,1821-08-07,letters (correspondence),,Kingwood (N.J. : Township),,Philadelphia (Pa.),Philadelphia (Pa.),"Author (aut): Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881","Addressee (rcp): Cope, Rachel Reeve, 1794-1863|Addressee (rcp): Cope, Henry, 1850-1924",hc:97124,"person:Haines, Mary D. (Mary Drinker Cope), 1819-1890",Country life|Nature|Health|Family,"HC.MC-1170, Box 2",hsc0724,,/object/hc97124
"1821 November 28, Philadelphia, [to Eleanor], Burlington",,1821-11-28,letters (correspondence),,Philadelphia (Pa.),,,Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",hc:109702,"person:Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881",Boarding schools|Education|Child rearing|Parent and child,"HC.MC-1170, Box 1",hsc1620,,/object/hc109702
"Letter and attatched trade evaluation from Cropper, Benson & Co. to Thomas P. Cope, 1821 December 12",,1821-12-01,business letters,,Liverpool (England),,,Liverpool (England)|Philadelphia (Pa.),"Author (aut): Cropper, Benson & Co.","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",hc:134032,,,"HC-MC.1242, Box 12, Folder 5",mc1242_12_05_12,,/object/hc134032
"Note from Thomas Jones, Mathematician, 1822",,1822,business letters,,Liverpool (England),,,Liverpool (England)|Philadelphia (Pa.),"Author (aut): Jones, Thomas",,hc:134564,,,"HC-MC.1242, Box 12, Folder 5",mc1242_12_05_14_001,,/object/hc134564
"Letter from Thomas Pim Cope to John Drinker, 1822 January 10",,1822-01-10,business letters,,,,,,"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Drinker, John, 1783-1824",hc:130827,,,"HC.MC-1242, Box 7, Folder 2",mc1242_07_02_01_012,,/object/hc130827
"Letter from James Monroe to Thomas P. Cope, 1822 January 17",,1822-01-17,business letters,,Liverpool (England),,Philadelphia (Pa.),Liverpool (England)|Philadelphia (Pa.),"Author (aut): Monroe, James","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854",hc:134036,,,"HC-MC.1242, Box 12, Folder 5",mc1242_12_05_17,,/object/hc134036
