Title,Description,Date Created,Genre,Precise Origin,Origin,Precise Destination,Destination,Geographic Subject,Author,Recipient,PID,Subjects (Name),Subjects (Topic),Shelf Locator,Local Identifier,Note,Item URL
to A,,,letters (correspondence),,,,,,"Cope, Clementine, 1835-1903","Cope, Annette, 1843-1916",hc:105999,"Cope, Alexis T. (Alexis Thomas), 1850-1883|Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",Letter writing,"HC.MC-1170, Box 3",hsc1188_01,,/object/hc105999
[Partial letter by Clementine Cope.],Missing first pages.,,letters (correspondence),,,,,"Germantown (Philadelphia, Pa.)","Cope, Clementine, 1835-1903",,hc:104443,"Cope, Anna Stewardson Brown, 1822-1916|Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Cope, Francis Hazen, 1859-1909|Cope, Alexis T. (Alexis Thomas), 1850-1883|Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937|Cope, William D. (William Drinker), 1798-1873",Landscapes,"HC.MC-1170, Box 3",hsc1199,,/object/hc104443
"June 21, Woodbourne, to My dearest Boy",,,letters (correspondence),,"Woodbourne (Susquehanna County, Pa.)",,,"Wayne (Pa.)|Wilkes-Barre (Pa.)|Woodbourne (Susquehanna County, Pa.)|Springville (Pa. : Township)|Newport (R.I.)","Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Cope, Francis R. (Francis Reeve), 1878-1962",hc:106220,"Norris, George|Cope, Annette, 1843-1916|Foote, Eleanor Tyson Cope, 1879-1973|Evans, Rachel Reeve Cope, 1850-1939|Drinker, Fanny (Frances M.), 1811?-1879",Dogs|Weather|Family,"HC.MC-1170, Box 3",hsc1331,,/object/hc106220
"1802 July 11, to Dear Son, Sansom Square Philadelphia",,1802-07-11,letters (correspondence),,Lancaster (Pa.),Sansom Square,Philadelphia (Pa.),Lancaster (Pa.)|Hampton (Pa. : Township)|Philadelphia (Pa.),"Cope, Caleb, 1736-1824","Cope, Thomas P. (Thomas Pim), 1768-1854",hc:106295,,Society of Friends|Debt|Judges,"HC.MC-1170, Box 3",hsc1407,,/object/hc106295
"1804 June 14, Lancaster, to Dear Son",,1804-06-14,letters (correspondence),,Lancaster (Pa.),,,,"Cope, Caleb, 1736-1824","Cope, Thomas P. (Thomas Pim), 1768-1854",hc:107499,,Debt|Judges,"HC.MC-1170, Box 3",hsc1408_01,,/object/hc107499
"1805 January 23, Lancaster, to Dear Son, 19 N Second Street Philadelphia",,1805-01-23,letters (correspondence),,Lancaster (Pa.),19 N Second St,Philadelphia (Pa.),,"Cope, Caleb, 1736-1824","Cope, Thomas P. (Thomas Pim), 1768-1854",hc:106296,,Debt|Judges,"HC.MC-1170, Box 3",hsc1409,,/object/hc106296
"1805 June 3, Lancaster, to Dear Son, 19 N Second Street Philadelphia",,1805-06-03,letters (correspondence),,Lancaster (Pa.),19 N Second St,Philadelphia (Pa.),Philadelphia (Pa.),"Cope, Caleb, 1736-1824","Cope, Thomas P. (Thomas Pim), 1768-1854",hc:106297,"Cope, Sarah",Banks and banking|Debt|Judges,"HC.MC-1170, Box 3",hsc1410,,/object/hc106297
"1849 August 24, Philadelphia, to Clementine",,1849-08-24,letters (correspondence),,Philadelphia (Pa.),,,Philadelphia (Pa.),"Cope, Elizabeth W. (Elizabeth Stokes Waln), 1780-1852","Cope, Clementine, 1835-1903",hc:95177,,,"HC.MC-1170, Box 3",hsc0354,,/object/hc95177
"1850 September 29, Woodbourne, to My Dear Cousin, Philadelphia",,1850-09-29,letters (correspondence),,"Woodbourne (Susquehanna County, Pa.)",,[Philadelphia (Pa.)],"Philadelphia (Pa.)|Longstreth (Pa.)|Westtown (Pa.)|Woodbourne (Susquehanna County, Pa.)","Cope, Clementine, 1835-1903","Cope, Ruthanna, 1834-1879",hc:104328,"Cope, Susan L. Newbold, 1805-1872|Cope, Edgar, 1838-1895|Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Cope, Eleanor, 1847-1860|Cope, William D. (William Drinker), 1798-1873|Walker, Sarah Miller, 1799-1874|Brown, Susanna Sansom, 1826-1909",Family,"HC.MC-1170, Box 3",hsc1081,,/object/hc104328
"1852 February 26, Dimock PA, to My Dear Sister, Philadelphia PA",,1852-02-26,letters (correspondence),,"Woodbourne (Susquehanna County, Pa.)",272 Spruce St,Philadelphia (Pa.),"Montrose (Susquehanna County, Pa.)|Woodbourne (Susquehanna County, Pa.)|Philadelphia (Pa.)|Dimock (Pa. : Township)","Cope, Caroline E. (Caroline Elizabeth), 1840-1944","Cope, Clementine, 1835-1903",hc:106323,"Cope, Susan L. Newbold, 1805-1872|Cope, William D. (William Drinker), 1798-1873|Cope, Elizabeth Waln Stokes, 1823-1902|Cope, Eleanor, 1847-1860|Cope, Alexis T. (Alexis Thomas), 1850-1883",Painting|Clothing and dress|Parties|Winter|Learning and scholarship,"HC.MC-1170, Box 3",hsc1436,,/object/hc106323
