NACO,lat,long
Aberfoyle (Scotland),56.17861111,-4.384166667
Albany (N.Y.),42.6525,-73.7561111111111
Alexandria (Va.),38.80472222,-77.0466666666667
Alexandria Bay (N.Y.),44.33583333,-75.9175
Ambler (Pa.),40.15444444,-75.2213888888889
Ann Arbor (Mich.),42.25305556,-83.8386111111111
Antigua,17.07583333,-61.7952777777778
Ashbourne (England),53.01666667,-1.73333333333333
Asheville (N.C.),35.60083333,-82.5538888888889
Asticou (Me.),44.30388889,-68.2816666666667
Atlantic City (N.J.),39.36388889,-74.4230555555556
Atlantic Ocean,10,-25
Auburn (N.J.),39.71083333,-75.3675
Auburndale (Mass.),42.34722222,-71.2494444444445
Ausable River (N.Y.),44.55611111,-73.4227777777778
Avalon (N.J.),39.10111111,-74.7175
Avebury (England),51.41666667,-1.86666666666667
"Awbury (Philadelphia, Pa.)",40.05055556,-75.1666666666667
Bacharach (Germany),50.05722222,7.769444444
Baltimore (Md.),39.29027778,-76.6119444444444
Bar Harbor (Me.),44.3875,-68.2038888888889
Basra (Iraq),30.50833333,47.78027778
Baveno (Italy),45.90805556,8.500277778
Bayeux (France),49.27722222,-0.703888888888889
Beach Haven (N.J.),39.55916667,-74.2430555555556
Belmont (Mass.),42.39583333,-71.1786111111111
Berkeley (Calif.),37.87138889,-122.2725
Berkley (Md.),39.66138889,-76.2086111111111
Berkshire (Mass.),42.37055556,-73.2063888888889
Berkshire County (Mass.),42.50576,-73.216985
Bern (Switzerland),46.94805556,7.447222222
Binghamton (N.Y.),42.09861111,-75.9177777777778
"Birmingham (Chester County, Pa. : Township)",39.89861111,-75.5986111111111
Blacks Harbour (N.B.),45.05861111,-66.7847222222222
Blair Atholl (Scotland),56.76611111,-3.84722222222222
Blue Hill (Me.),44.41388889,-68.5866666666667
Bonchurch (Isle of Wight),50.59944444,-1.18583333333333
Boston (Mass.),42.35833333,-71.0597222222222
Boston Harbor Watershed (Mass.),42.34166667,-70.9661111111111
Bradford (Pa.),41.78861111,-76.5152777777778
Brandywine Springs (Del.),39.74444444,-75.6438888888889
Brewster (Mass.),41.76,-70.0827777777778
Brielle (N.J.),40.10777778,-74.0563888888889
Bristol (Pa.),40.10055556,-74.8516666666667
Brooklyn (N.Y.),40.65,-73.9494444444445
Brussels (Belgium),50.85027778,4.348611111
Bryn Mawr (Pa.),40.01972222,-75.3044444444444
Buffalo (N.Y.),42.88638889,-78.8783333333333
Burlington (N.J.),40.07111111,-74.8647222222222
Burlington (Vt.),44.47583333,-73.2119444444444
Caen (France),49.18583333,-0.358888888888889
Calcon Hook (Pa.),39.87138889,-75.2505555555556
Caln (Pa: Township),39.99083333,-75.78
Camaldoli (Italy),43.79333333,11.82027778
Cambridge (England),52.2,0.1166666667
Cambridge (Mass.),42.375,-71.1055555555556
Camden (N.J.),39.92583333,-75.1194444444444
Camden (S.C.),34.24638889,-80.6069444444444
Cannes (France),43.55111111,7.0125
Cape May (N.J.),38.935,-74.9058333333333
