,Title,Description,Date Created,Origin,Author,Recipient,Start,start_lat,start_long,Year,Month,Day,Month Name,Season,Color
0,"Letter from Thomas Pim Cope to Adam Hodgson, 1820 January 1",,1820-01-01,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Hodgson, Adam, 1788-1862","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1820,1,1,January,Winter,darkred
3,"1820 July 15, Philadelphia, to Rachel Cope, Salem NJ",,1820-07-15,Philadelphia (Pa.),"Author (aut): Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881","Addressee (rcp): Cope, Rachel Reeve, 1794-1863","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1820,7,15,July,Summer,yellow
4,"1820 August 29, Chester County, to Henry & Rachel, Philadelphia","Letters from two different authors on same page. The first is signed ""Cara"" presumably Caroline R. Yarnall. The second letter, which begins underneath the first, is signed ""Thy Mother, M.C.""",1820-08-29,Chester County (Pa.),"Author (aut): Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881|Author (aut): Haines, Mary D. (Mary Drinker Cope), 1819-1890","Addressee (rcp): Cope, Rachel Reeve, 1794-1863|Addressee (rcp): Cope, Henry, 1850-1924","{'lat': 39.97305556, 'long': -75.7483333333333}",39.97305556,-75.7483333333333,1820,8,29,August,Summer,yellow
5,"1820 November 6, to Eleanor Cope Tyson, Trenton Boarding School",,1820-11-06,Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1820,11,6,November,Fall,orange
7,"1821, February 22, Trenton, to Brother",,1821-02-22,Trenton (N.J.),"Author (aut): Tyson, Eleanor Cope, 1807-1847","Addressee (rcp): Cope, Henry, 1793-1865","{'lat': 40.21694444, 'long': -74.7427777777778}",40.21694444,-74.7427777777778,1821,2,22,February,Winter,darkred
8,"1821 June 1, Philadelphia, to My dear Elenor",,1821-06-01,Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1821,6,1,June,Summer,yellow
9,"1821 August 7, Kingwood, to Henry and Rachel R. Cope, Philadelphia",,1821-08-07,Kingwood (N.J. : Township),"Author (aut): Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881","Addressee (rcp): Cope, Rachel Reeve, 1794-1863|Addressee (rcp): Cope, Henry, 1850-1924","{'lat': 40.49055556, 'long': -75.0191666666667}",40.49055556,-75.0191666666667,1821,8,7,August,Summer,yellow
10,"1821 November 28, Philadelphia, to Eleanor, Burlington",,1821-11-28,Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1821,11,28,November,Fall,orange
11,"Letter and attatched trade evaluation from Cropper, Benson & Co. to Thomas P. Cope, 1821 December 12",,1821-12-01,Liverpool (England),"Author (aut): Cropper, Benson & Co.","Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1768-1854","{'lat': 53.41055556, 'long': -2.97777777777778}",53.41055556,-2.97777777777778,1821,12,1,December,Winter,darkred
12,"Note from Thomas Jones, Mathematician, 1822",,1822,Liverpool (England),"Author (aut): Jones, Thomas",,"{'lat': 53.41055556, 'long': -2.97777777777778}",53.41055556,-2.97777777777778,1822,0,0,0,0,0
