,Origin,Destination
3,Philadelphia (Pa.),Salem (N.J.)
4,Chester County (Pa.),Philadelphia (Pa.)
7,Trenton (N.J.),Philadelphia (Pa.)
9,Kingwood (N.J. : Township),Philadelphia (Pa.)
14,Liverpool (England),Philadelphia (Pa.)
15,Liverpool (England),Philadelphia (Pa.)
16,Philadelphia (Pa.),Greensburg (Pa.)
18,"Henlopen, Cape (Del.)",Philadelphia (Pa.)
19,Liverpool (England),Philadelphia (Pa.)
21,Liverpool (England),Philadelphia (Pa.)
22,Liverpool (England),Philadelphia (Pa.)
40,Philadelphia (Pa.),Burlington (N.J.)
48,Philadelphia (Pa.),Burlington (N.J.)
52,Philadelphia (Pa.),Baltimore (Md.)
55,Philadelphia (Pa.),Rockway (N.J.)
56,Philadelphia (Pa.),New York (N.Y.)
57,Philadelphia (Pa.),Tottenham (England)
58,Jim Thorpe (Pa.),Philadelphia (Pa.)
61,Luzerne County (Pa.),Philadelphia (Pa.)
64,"Montrose (Susquehanna County, Pa.)",Philadelphia (Pa.)
65,"Montrose (Susquehanna County, Pa.)",Philadelphia (Pa.)
68,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
69,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
70,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
72,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
73,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
76,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
78,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
80,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
82,Philadelphia (Pa.),Albany (N.Y.)
83,Boston (Mass.),Philadelphia (Pa.)
86,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
88,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
89,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
90,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
91,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
92,Buffalo (N.Y.),Philadelphia (Pa.)
93,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
94,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
95,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
96,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
97,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
98,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
101,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
102,Liverpool (England),Philadelphia (Pa.)
105,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
108,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
110,Philadelphia (Pa.),Deal (N.J.)
115,Harrisburg (Pa.),Philadelphia (Pa.)
116,Harrisburg (Pa.),Philadelphia (Pa.)
118,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
120,Harrisburg (Pa.),Philadelphia (Pa.)
121,Harrisburg (Pa.),Philadelphia (Pa.)
125,Harrisburg (Pa.),Philadelphia (Pa.)
126,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
127,Harrisburg (Pa.),Philadelphia (Pa.)
128,Washington (D.C.),Philadelphia (Pa.)
129,Harrisburg (Pa.),Philadelphia (Pa.)
130,New York (N.Y.),Philadelphia (Pa.)
135,Philadelphia (Pa.),Woodstown (N.J.)
136,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
137,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
138,"Middletown (Delaware County, Pa. : Township)",Philadelphia (Pa.)
139,"Salem (Winston-Salem, N.C.)",Philadelphia (Pa.)
140,New York (N.Y.),Philadelphia (Pa.)
141,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
147,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
148,Philadelphia (Pa.),Sunbury (Pa.)
150,Philadelphia (Pa.),"Woodbourne (Susquehanna County, Pa.)"
151,"Germantown (Philadelphia, Pa.)","Woodbourne (Susquehanna County, Pa.)"
152,Philadelphia (Pa.),"Easton (Northampton County, Pa.)"
153,Philadelphia (Pa.),"Easton (Northampton County, Pa.)"
156,Bristol (Pa.),Philadelphia (Pa.)
162,Philadelphia (Pa.),Deal (N.J.)
163,Philadelphia (Pa.),Long Branch (N.J.)
164,"Salem (Winston-Salem, N.C.)",Philadelphia (Pa.)
165,Auburn (N.J.),Deal (N.J.)
166,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
168,Philadelphia (Pa.),Eatontown (N.J.)
170,Philadelphia (Pa.),"Woodbourne (Susquehanna County, Pa.)"
171,East Marlborough (Pa. : Township),Philadelphia (Pa.)
172,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
175,Bristol (Pa.),"Woodbourne (Susquehanna County, Pa.)"
177,Philadelphia (Pa.),Burlington (N.J.)
178,Philadelphia (Pa.),Liverpool (England)
179,Philadelphia (Pa.),England
180,Philadelphia (Pa.),Liverpool (England)
182,Bristol (Pa.),Philadelphia (Pa.)
187,Philadelphia (Pa.),Madeira (Madeira Islands)
188,Philadelphia (Pa.),Madeira (Madeira Islands)
189,Philadelphia (Pa.),Madeira (Madeira Islands)
193,Philadelphia (Pa.),Madeira (Madeira Islands)
194,Philadelphia (Pa.),Madeira (Madeira Islands)
195,Philadelphia (Pa.),Madeira (Madeira Islands)
196,Bristol (Pa.),Philadelphia (Pa.)
197,Louisville (Ky.),Philadelphia (Pa.)
198,New York (N.Y.),Philadelphia (Pa.)
199,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
200,Philadelphia (Pa.),Liverpool (England)
201,Philadelphia (Pa.),London (England)
202,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
203,"Woodbourne (Susquehanna County, Pa.)",Liverpool (England)
204,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
207,Philadelphia (Pa.),Liverpool (England)
208,Rouen (France),Philadelphia (Pa.)
209,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
210,Haverford (Pa. : Township),Philadelphia (Pa.)
211,Haverford (Pa. : Township),Philadelphia (Pa.)
212,Haverford (Pa. : Township),Philadelphia (Pa.)
213,Haverford (Pa. : Township),Philadelphia (Pa.)
214,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
215,Haverford (Pa. : Township),Philadelphia (Pa.)
216,Haverford (Pa. : Township),Philadelphia (Pa.)
217,Haverford (Pa. : Township),Philadelphia (Pa.)
218,Haverford (Pa. : Township),Philadelphia (Pa.)
219,Haverford (Pa. : Township),Philadelphia (Pa.)
220,Philadelphia (Pa.),Haverford (Pa. : Township)
221,"Springfield (Delaware County, Pa. : Township)",Philadelphia (Pa.)
222,Philadelphia (Pa.),Haverford (Pa. : Township)
223,Haverford (Pa. : Township),Philadelphia (Pa.)
224,Haverford (Pa. : Township),Philadelphia (Pa.)
226,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
227,Haverford (Pa. : Township),Philadelphia (Pa.)
228,Haverford (Pa. : Township),Philadelphia (Pa.)
229,Liverpool (England),Philadelphia (Pa.)
230,Philadelphia (Pa.),Haverford (Pa. : Township)
231,Haverford (Pa. : Township),Philadelphia (Pa.)
232,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
233,Haverford (Pa. : Township),Philadelphia (Pa.)
234,Haverford (Pa. : Township),Philadelphia (Pa.)
235,Haverford (Pa. : Township),Philadelphia (Pa.)
237,Haverford (Pa. : Township),Philadelphia (Pa.)
238,Philadelphia (Pa.),Haverford (Pa. : Township)
239,Haverford (Pa. : Township),Philadelphia (Pa.)
240,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
241,Haverford (Pa. : Township),Philadelphia (Pa.)
243,Haverford (Pa. : Township),Philadelphia (Pa.)
244,Philadelphia (Pa.),Haverford (Pa. : Township)
246,Burlington (N.J.),Philadelphia (Pa.)
247,Philadelphia (Pa.),Haverford (Pa. : Township)
248,Haverford (Pa. : Township),Philadelphia (Pa.)
249,Philadelphia (Pa.),Haverford (Pa. : Township)
250,Haverford (Pa. : Township),Philadelphia (Pa.)
251,Haverford (Pa. : Township),Philadelphia (Pa.)
252,Philadelphia (Pa.),Haverford (Pa. : Township)
253,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
254,Haverford (Pa. : Township),Philadelphia (Pa.)
255,Haverford (Pa. : Township),Philadelphia (Pa.)
256,Haverford (Pa. : Township),Philadelphia (Pa.)
257,Haverford (Pa. : Township),Philadelphia (Pa.)
258,Wheeling (W. Va.),Philadelphia (Pa.)
259,Haverford (Pa. : Township),Philadelphia (Pa.)
261,Haverford (Pa. : Township),Philadelphia (Pa.)
262,Haverford (Pa. : Township),Philadelphia (Pa.)
263,Haverford (Pa. : Township),Philadelphia (Pa.)
264,Haverford (Pa. : Township),Philadelphia (Pa.)
265,Haverford (Pa. : Township),Philadelphia (Pa.)
266,Newport (R.I.),Haverford (Pa. : Township)
268,Haverford (Pa. : Township),"Mt. Pleasant (Jefferson County, Ohio)"
269,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
270,Philadelphia (Pa.),Haverford (Pa. : Township)
271,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
272,Bristol (Pa.),Philadelphia (Pa.)
273,Haverford (Pa. : Township),Philadelphia (Pa.)
274,Haverford (Pa. : Township),Philadelphia (Pa.)
275,Haverford (Pa. : Township),Philadelphia (Pa.)
278,Haverford (Pa. : Township),Philadelphia (Pa.)
279,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
283,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
284,Haverford (Pa. : Township),Philadelphia (Pa.)
286,Haverford (Pa. : Township),Philadelphia (Pa.)
287,Harrisburg (Pa.),Philadelphia (Pa.)
292,Haverford (Pa. : Township),Philadelphia (Pa.)
293,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
294,Harrisburg (Pa.),Philadelphia (Pa.)
296,Harrisburg (Pa.),Philadelphia (Pa.)
297,Haverford (Pa. : Township),Philadelphia (Pa.)
298,Philadelphia (Pa.),Harrisburg (Pa.)
299,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
300,Harrisburg (Pa.),Philadelphia (Pa.)
301,Harrisburg (Pa.),Philadelphia (Pa.)
302,Haverford (Pa. : Township),Philadelphia (Pa.)
303,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
305,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
306,Philadelphia (Pa.),"Woodbourne (Susquehanna County, Pa.)"
307,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
308,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
309,Haverford (Pa. : Township),Philadelphia (Pa.)
311,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
312,Haverford (Pa. : Township),Philadelphia (Pa.)
313,Haverford (Pa. : Township),Philadelphia (Pa.)
314,Haverford (Pa. : Township),Philadelphia (Pa.)
315,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
316,Baltimore (Md.),Philadelphia (Pa.)
317,Norfolk (Va.),Philadelphia (Pa.)
319,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
320,Charleston (S.C.),Haverford (Pa. : Township)
321,Savannah (Ga.),Philadelphia (Pa.)
322,Charleston (S.C.),Philadelphia (Pa.)
323,Haverford (Pa. : Township),Philadelphia (Pa.)
324,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
325,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
326,Salem (Mass.),Philadelphia (Pa.)
327,Philadelphia (Pa.),Salem (Mass.)
331,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
332,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
333,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
334,Haverford (Pa. : Township),Philadelphia (Pa.)
335,"Woodbourne (Susquehanna County, Pa.)",Philadelphia (Pa.)
336,Paris (France),Philadelphia (Pa.)
