,Origin,Destination
3,Philadelphia,New Jersey
4,Pennsylvania,Philadelphia
7,New Jersey,Philadelphia
9,New Jersey,Philadelphia
14,England,Philadelphia
15,England,Philadelphia
16,Philadelphia,Pennsylvania
18,Delaware,Philadelphia
19,England,Philadelphia
21,England,Philadelphia
22,England,Philadelphia
40,Philadelphia,New Jersey
48,Philadelphia,New Jersey
52,Philadelphia,Maryland
55,Philadelphia,New Jersey
56,Philadelphia,New York (State)
57,Philadelphia,England
58,Pennsylvania,Philadelphia
61,Pennsylvania,Philadelphia
64,Susquehanna County,Philadelphia
65,Susquehanna County,Philadelphia
68,Susquehanna County,Philadelphia
69,Susquehanna County,Philadelphia
70,Susquehanna County,Philadelphia
72,Susquehanna County,Philadelphia
73,Susquehanna County,Philadelphia
76,Susquehanna County,Philadelphia
78,Susquehanna County,Philadelphia
80,Susquehanna County,Philadelphia
82,Philadelphia,New York (State)
83,Massachusetts,Philadelphia
86,Susquehanna County,Philadelphia
88,Susquehanna County,Philadelphia
89,Susquehanna County,Philadelphia
90,Susquehanna County,Philadelphia
91,Susquehanna County,Philadelphia
92,New York (State),Philadelphia
93,Susquehanna County,Philadelphia
94,Susquehanna County,Philadelphia
95,Susquehanna County,Philadelphia
96,Susquehanna County,Philadelphia
97,Susquehanna County,Philadelphia
98,Susquehanna County,Philadelphia
101,Susquehanna County,Philadelphia
102,England,Philadelphia
105,Susquehanna County,Philadelphia
108,Susquehanna County,Philadelphia
110,Philadelphia,New Jersey
115,Pennsylvania,Philadelphia
116,Pennsylvania,Philadelphia
118,Susquehanna County,Philadelphia
120,Pennsylvania,Philadelphia
121,Pennsylvania,Philadelphia
125,Pennsylvania,Philadelphia
126,Susquehanna County,Philadelphia
127,Pennsylvania,Philadelphia
128,Washington (D.C.),Philadelphia
129,Pennsylvania,Philadelphia
130,New York (State),Philadelphia
135,Philadelphia,New Jersey
136,Susquehanna County,Philadelphia
137,Susquehanna County,Philadelphia
138,Pennsylvania,Philadelphia
139,North Carolina,Philadelphia
140,New York (State),Philadelphia
141,Susquehanna County,Philadelphia
147,Susquehanna County,Philadelphia
148,Philadelphia,Pennsylvania
150,Philadelphia,Susquehanna County
151,Philadelphia,Susquehanna County
152,Philadelphia,Pennsylvania
153,Philadelphia,Pennsylvania
156,Pennsylvania,Philadelphia
162,Philadelphia,New Jersey
163,Philadelphia,New Jersey
164,North Carolina,Philadelphia
165,New Jersey,New Jersey
166,Susquehanna County,Philadelphia
168,Philadelphia,New Jersey
170,Philadelphia,Susquehanna County
171,Pennsylvania,Philadelphia
172,Susquehanna County,Philadelphia
175,Pennsylvania,Susquehanna County
177,Philadelphia,New Jersey
178,Philadelphia,England
179,Philadelphia,England
180,Philadelphia,England
182,Pennsylvania,Philadelphia
187,Philadelphia,Madeira (Madeira Islands)
188,Philadelphia,Madeira (Madeira Islands)
189,Philadelphia,Madeira (Madeira Islands)
193,Philadelphia,Madeira (Madeira Islands)
194,Philadelphia,Madeira (Madeira Islands)
195,Philadelphia,Madeira (Madeira Islands)
196,Pennsylvania,Philadelphia
197,Kentucky,Philadelphia
198,New York (State),Philadelphia
199,Susquehanna County,Philadelphia
200,Philadelphia,England
201,Philadelphia,England
202,Susquehanna County,Philadelphia
203,Susquehanna County,England
204,Susquehanna County,Philadelphia
207,Philadelphia,England
208,France,Philadelphia
209,Susquehanna County,Philadelphia
210,Pennsylvania,Philadelphia
211,Pennsylvania,Philadelphia
212,Pennsylvania,Philadelphia
213,Pennsylvania,Philadelphia
214,Susquehanna County,Philadelphia
215,Pennsylvania,Philadelphia
216,Pennsylvania,Philadelphia
217,Pennsylvania,Philadelphia
218,Pennsylvania,Philadelphia
219,Pennsylvania,Philadelphia
220,Philadelphia,Pennsylvania
221,Pennsylvania,Philadelphia
222,Philadelphia,Pennsylvania
223,Pennsylvania,Philadelphia
224,Pennsylvania,Philadelphia
226,Susquehanna County,Philadelphia
227,Pennsylvania,Philadelphia
228,Pennsylvania,Philadelphia
229,England,Philadelphia
230,Philadelphia,Pennsylvania
231,Pennsylvania,Philadelphia
232,Susquehanna County,Philadelphia
233,Pennsylvania,Philadelphia
234,Pennsylvania,Philadelphia
235,Pennsylvania,Philadelphia
237,Pennsylvania,Philadelphia
238,Philadelphia,Pennsylvania
239,Pennsylvania,Philadelphia
240,Susquehanna County,Philadelphia
241,Pennsylvania,Philadelphia
243,Pennsylvania,Philadelphia
244,Philadelphia,Pennsylvania
246,New Jersey,Philadelphia
247,Philadelphia,Pennsylvania
248,Pennsylvania,Philadelphia
249,Philadelphia,Pennsylvania
250,Pennsylvania,Philadelphia
251,Pennsylvania,Philadelphia
252,Philadelphia,Pennsylvania
253,Susquehanna County,Philadelphia
254,Pennsylvania,Philadelphia
255,Pennsylvania,Philadelphia
256,Pennsylvania,Philadelphia
257,Pennsylvania,Philadelphia
258,Virginia,Philadelphia
259,Pennsylvania,Philadelphia
261,Pennsylvania,Philadelphia
262,Pennsylvania,Philadelphia
263,Pennsylvania,Philadelphia
264,Pennsylvania,Philadelphia
265,Pennsylvania,Philadelphia
266,Rhode Island,Pennsylvania
268,Pennsylvania,Ohio
269,Susquehanna County,Philadelphia
270,Philadelphia,Pennsylvania
271,Susquehanna County,Philadelphia
272,Pennsylvania,Philadelphia
273,Pennsylvania,Philadelphia
274,Pennsylvania,Philadelphia
275,Pennsylvania,Philadelphia
278,Pennsylvania,Philadelphia
279,Susquehanna County,Philadelphia
283,Susquehanna County,Philadelphia
284,Pennsylvania,Philadelphia
286,Pennsylvania,Philadelphia
287,Pennsylvania,Philadelphia
292,Pennsylvania,Philadelphia
293,Susquehanna County,Philadelphia
294,Pennsylvania,Philadelphia
296,Pennsylvania,Philadelphia
297,Pennsylvania,Philadelphia
298,Philadelphia,Pennsylvania
299,Susquehanna County,Philadelphia
300,Pennsylvania,Philadelphia
301,Pennsylvania,Philadelphia
302,Pennsylvania,Philadelphia
303,Susquehanna County,Philadelphia
305,Susquehanna County,Philadelphia
306,Philadelphia,Susquehanna County
307,Susquehanna County,Philadelphia
308,Susquehanna County,Philadelphia
309,Pennsylvania,Philadelphia
311,Susquehanna County,Philadelphia
312,Pennsylvania,Philadelphia
313,Pennsylvania,Philadelphia
314,Pennsylvania,Philadelphia
315,Susquehanna County,Philadelphia
316,Maryland,Philadelphia
317,Virginia,Philadelphia
319,Susquehanna County,Philadelphia
320,South Carolina,Pennsylvania
321,Georgia,Philadelphia
322,South Carolina,Philadelphia
323,Pennsylvania,Philadelphia
324,Susquehanna County,Philadelphia
325,Susquehanna County,Philadelphia
326,Massachusetts,Philadelphia
327,Philadelphia,Massachusetts
331,Susquehanna County,Philadelphia
332,Susquehanna County,Philadelphia
333,Susquehanna County,Philadelphia
334,Pennsylvania,Philadelphia
335,Susquehanna County,Philadelphia
336,France,Philadelphia
337,Susquehanna County,Philadelphia
338,Philadelphia,Susquehanna County
339,Susquehanna County,Philadelphia
340,Susquehanna County,Philadelphia
342,Philadelphia,Philadelphia
344,Rhode Island,Philadelphia
345,Rhode Island,Philadelphia
348,Susquehanna County,Philadelphia
349,Philadelphia,Pennsylvania
351,Susquehanna County,Philadelphia
353,Susquehanna County,Philadelphia
354,Massachusetts,Philadelphia
355,Massachusetts,Philadelphia
356,Susquehanna County,Philadelphia
357,Susquehanna County,Philadelphia
358,Susquehanna County,Philadelphia
360,Philadelphia,Pennsylvania
361,Susquehanna County,Philadelphia
362,Massachusetts,Philadelphia
364,Massachusetts,Philadelphia
365,Susquehanna County,Philadelphia
366,Susquehanna County,Philadelphia
369,Massachusetts,Philadelphia
370,New Jersey,Susquehanna County
371,Susquehanna County,Philadelphia
374,New Jersey,Philadelphia
375,Pennsylvania,Philadelphia
376,Philadelphia,Susquehanna County
377,Philadelphia,Susquehanna County
379,Susquehanna County,Philadelphia
380,Susquehanna County,Philadelphia
381,Susquehanna County,Philadelphia
382,Washington (D.C.),Philadelphia
389,Philadelphia,New Jersey
390,Philadelphia,New Jersey
391,Philadelphia,New Jersey
392,Philadelphia,Massachusetts
395,Massachusetts,Massachusetts
396,Philadelphia,Indiana
398,Susquehanna County,Philadelphia
399,Philadelphia,Rhode Island
400,Susquehanna County,Philadelphia
402,Susquehanna County,Philadelphia
404,Susquehanna County,Philadelphia
408,Pennsylvania,Susquehanna County
409,New Jersey,Philadelphia
412,New Jersey,Philadelphia
413,Pennsylvania,Philadelphia
415,Susquehanna County,Philadelphia
416,Philadelphia,Philadelphia
417,Susquehanna County,Philadelphia
420,Susquehanna County,Philadelphia
423,New Jersey,Susquehanna County
424,Susquehanna County,Philadelphia
425,Philadelphia,New York (State)
429,Massachusetts,Rhode Island
430,New York (State),Philadelphia
431,Massachusetts,Philadelphia
433,Susquehanna County,Philadelphia
436,Delaware,Philadelphia
440,New York (State),Philadelphia
441,Quebec (Province),Philadelphia
442,New York (State),Philadelphia
443,Susquehanna County,Philadelphia
444,Massachusetts,Philadelphia
445,England,Philadelphia
447,Massachusetts,Philadelphia
449,Rhode Island,Philadelphia
451,Susquehanna County,Philadelphia
452,Susquehanna County,Philadelphia
453,Pennsylvania,Philadelphia
459,Susquehanna County,Philadelphia
461,North Carolina,Philadelphia
464,Massachusetts,Philadelphia
469,Philadelphia,New York (State)
470,Pennsylvania,Philadelphia
474,Pennsylvania,Philadelphia
475,Susquehanna County,Philadelphia
479,Philadelphia,Philadelphia
482,Susquehanna County,Philadelphia
483,Susquehanna County,Philadelphia
485,Pennsylvania,Philadelphia
487,Susquehanna County,Philadelphia
488,Susquehanna County,Philadelphia
489,Philadelphia,Susquehanna County
492,Philadelphia,New Jersey
493,Philadelphia,New Jersey
494,Susquehanna County,Philadelphia
495,Susquehanna County,Philadelphia
497,Susquehanna County,Philadelphia
498,Susquehanna County,Philadelphia
499,Susquehanna County,Philadelphia
501,Susquehanna County,Philadelphia
502,Susquehanna County,Philadelphia
503,Susquehanna County,Philadelphia
506,Susquehanna County,Philadelphia
508,Susquehanna County,Philadelphia
510,Philadelphia,Susquehanna County
511,Pennsylvania,Pennsylvania
512,Philadelphia,New Jersey
514,Philadelphia,Pennsylvania
515,Susquehanna County,Philadelphia
516,Philadelphia,Pennsylvania
519,Susquehanna County,Philadelphia
531,Susquehanna County,Philadelphia
534,Philadelphia,Susquehanna County
537,Susquehanna County,Philadelphia
539,Philadelphia,Pennsylvania
542,Philadelphia,Susquehanna County
546,Philadelphia,Susquehanna County
547,Pennsylvania,Philadelphia
551,Susquehanna County,Philadelphia
553,Susquehanna County,Philadelphia
559,Pennsylvania,Philadelphia
562,Pennsylvania,Pennsylvania
567,Iowa,Philadelphia
576,Susquehanna County,Philadelphia
577,Susquehanna County,Philadelphia
580,Susquehanna County,Philadelphia
583,Pennsylvania,Philadelphia
584,Susquehanna County,Philadelphia
585,New York (State),Philadelphia
586,Philadelphia,New Hampshire
593,Rhode Island,Philadelphia
594,Philadelphia,Philadelphia
596,Susquehanna County,Philadelphia
611,Philadelphia,Philadelphia
613,France,England
614,France,Philadelphia
625,Philadelphia,Susquehanna County
631,England,Philadelphia
636,Philadelphia,Philadelphia
654,Susquehanna County,Philadelphia
655,New York (State),Philadelphia
659,Susquehanna County,Philadelphia
662,Philadelphia,New Jersey
668,Rhode Island,Philadelphia
676,Susquehanna County,Philadelphia
703,Philadelphia,Rhode Island
706,Rhode Island,Philadelphia
709,Minnesota,Philadelphia
710,Minnesota,Philadelphia
711,Minnesota,Philadelphia
712,Minnesota,Philadelphia
713,Minnesota,Philadelphia
717,Philadelphia,Pennsylvania
723,Philadelphia,Pennsylvania
724,Philadelphia,Pennsylvania
726,Philadelphia,Pennsylvania
728,Philadelphia,Washington (D.C.)
732,New Jersey,Philadelphia
733,Philadelphia,Pennsylvania
739,Philadelphia,New Jersey
741,Philadelphia,Pennsylvania
743,Philadelphia,Philadelphia
754,Philadelphia,Washington (D.C.)
761,England,Philadelphia
762,England,Philadelphia
765,Philadelphia,Washington (D.C.)
771,New York (State),Philadelphia
776,New York (State),Philadelphia
779,Philadelphia,Rhode Island
782,Washington (D.C.),Philadelphia
789,Lookout Mountain (Appalachian Mountains),Philadelphia
802,Massachusetts,Philadelphia
812,Rhode Island,Philadelphia
818,Philadelphia,Rhode Island
832,Maryland,Philadelphia
837,Maryland,Philadelphia
838,Maryland,Philadelphia
839,Maryland,Philadelphia
841,Maryland,Pennsylvania
843,Maryland,Philadelphia
848,Lookout Mountain (Appalachian Mountains),Philadelphia
859,Rhode Island,Philadelphia
877,Philadelphia,Philadelphia
902,Philadelphia,New York (State)
904,New York (State),Philadelphia
906,New York (State),England
912,New York (State),England
919,Rhode Island,England
924,Rhode Island,England
925,Rhode Island,England
926,Rhode Island,England
927,Rhode Island,England
928,Rhode Island,England
929,Rhode Island,England
930,Rhode Island,England
931,Rhode Island,England
981,New Jersey,Philadelphia
984,New Jersey,Philadelphia
987,New Jersey,Philadelphia
988,New Jersey,Philadelphia
991,Philadelphia,New York (State)
993,Philadelphia,New York (State)
995,New Jersey,Philadelphia
1012,Pennsylvania,Rhode Island
1018,Philadelphia,Rhode Island
1020,Maryland,Susquehanna County
1024,Philadelphia,Rhode Island
