,Title,Description,Date Created,Origin,Author,Recipient,Year,Month,Day
0,"Letter from Thomas Pim Cope to Adam Hodgson, 1820 January 1",,1820-01-01,Philadelphia (Pa.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1768-1854","Addressee (rcp): Hodgson, Adam, 1788-1862",1820,1,1
1,"1820 April 1, to Elenor Cope",,1820-04-01,,"Author (aut): Drinker, Rachel|Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",1820,4,1
2,"1820 April 1, to Ellenor","The date at the top of the letter is April 1, 1820.  On the address portion of the letter, the date is given as April 1, 1819.",1820-04-01,,"Author (aut): Drinker, Rachel|Author (aut): Haines, Mary D. (Mary Drinker Cope), 1819-1890","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",1820,4,1
3,"1820 July 15, Philadelphia, to Rachel Cope, Salem NJ",,1820-07-15,Philadelphia (Pa.),"Author (aut): Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881","Addressee (rcp): Cope, Rachel Reeve, 1794-1863",1820,7,15
4,"1820 August 29, Chester County, to Henry & Rachel, Philadelphia","Letters from two different authors on same page. The first is signed ""Cara"" presumably Caroline R. Yarnall. The second letter, which begins underneath the first, is signed ""Thy Mother, M.C.""",1820-08-29,Chester County (Pa.),"Author (aut): Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881|Author (aut): Haines, Mary D. (Mary Drinker Cope), 1819-1890","Addressee (rcp): Cope, Rachel Reeve, 1794-1863|Addressee (rcp): Cope, Henry, 1850-1924",1820,8,29
5,"1820 November 6, to Eleanor Cope Tyson, Trenton Boarding School",,1820-11-06,Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",1820,11,6
6,"1821, to E.S.","Includes notation: ""written for my dear mother & copied by A.S.C."" (Anna Stewardson Cope)",1821,,"Author (aut): Cope, Anna Stewardson Brown, 1822-1916","Addressee (rcp): Brown, Elizabeth S.",1821,0,0
7,"1821, February 22, Trenton, to Brother",,1821-02-22,Trenton (N.J.),"Author (aut): Tyson, Eleanor Cope, 1807-1847","Addressee (rcp): Cope, Henry, 1793-1865",1821,2,22
8,"1821 June 1, Philadelphia, to My dear Elenor",,1821-06-01,Philadelphia (Pa.),"Author (aut): Cope, Mary Drinker, 1766-1825","Addressee (rcp): Tyson, Eleanor Cope, 1807-1847",1821,6,1
9,"1821 August 7, Kingwood, to Henry and Rachel R. Cope, Philadelphia",,1821-08-07,Kingwood (N.J. : Township),"Author (aut): Yarnall, Caroline R. (Caroline Rachel) Cope, 1802-1881","Addressee (rcp): Cope, Rachel Reeve, 1794-1863|Addressee (rcp): Cope, Henry, 1850-1924",1821,8,7
