,Title,Description,Date Created,Origin,Author,Recipient,Start,start_lat,start_long,Year,Month,Day,Month Name,Season,Color
7,"1849 August 24, Philadelphia, to Clementine",,1849-08-24,Philadelphia (Pa.),"Cope, Elizabeth W. (Elizabeth Stokes Waln), 1780-1852","Cope, Clementine, 1835-1903","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1849,8,24,August,Summer,yellow
8,"1850 September 29, Woodbourne, to My Dear Cousin, Philadelphia",,1850-09-29,"Woodbourne (Susquehanna County, Pa.)","Cope, Clementine, 1835-1903","Cope, Ruthanna, 1834-1879","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1850,9,29,September,Fall,orange
9,"1852 February 26, Dimock PA, to My Dear Sister, Philadelphia PA",,1852-02-26,"Woodbourne (Susquehanna County, Pa.)","Cope, Caroline E. (Caroline Elizabeth), 1840-1944","Cope, Clementine, 1835-1903","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1852,2,26,February,Winter,lightskyblue
10,"1852 July 12, Woodbourne, to Annie, Philadelphia",,1852-07-02,"Woodbourne (Susquehanna County, Pa.)","Cope, Clementine, 1835-1903","Cope, Ruthanna, 1834-1879","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1852,7,2,July,Summer,yellow
11,"1852 July 12, Woodbourne, to Ruthanna Cope","Stationer's mark: ""SUPER FINE"" surrounded by leaves.",1852-07-12,"Woodbourne (Susquehanna County, Pa.)","Cope, Clementine, 1835-1903","Cope, Ruthanna, 1834-1879","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1852,7,12,July,Summer,yellow
12,"1852 August 6, Westtown, to Sister",,1852-08-06,Westtown (Pa.),"Cope, Edgar, 1838-1895","Cope, Clementine, 1835-1903","{'lat': 39.94166667, 'long': -75.5563888888889}",39.94166667,-75.5563888888889,1852,8,6,August,Summer,yellow
13,"1852 November 13, West Town, to Cousin",,1852-11-13,Westtown (Pa.),"Cope, Edgar, 1838-1895",,"{'lat': 39.94166667, 'long': -75.5563888888889}",39.94166667,-75.5563888888889,1852,11,13,November,Fall,orange
14,"1852 December 3, West Town, to Clemmy",,1852-12-03,Westtown (Pa.),"Cope, Edgar, 1838-1895","Cope, Clementine, 1835-1903","{'lat': 39.94166667, 'long': -75.5563888888889}",39.94166667,-75.5563888888889,1852,12,3,December,Winter,lightskyblue
15,"1853 December 20th, Philadelphia, to Dear Clemmy",,1853-12-20,Philadelphia (Pa.),"Cope, Elizabeth Waln Stokes, 1823-1902","Cope, Clementine, 1835-1903","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1853,12,20,December,Winter,lightskyblue
16,"1854 March 2, Philadelphia, to My dear Clemmy, Susquehannah County PA",,1854-03-02,Philadelphia (Pa.),"Cope, Elizabeth Waln Stokes, 1823-1902","Cope, Clementine, 1835-1903","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1854,3,2,March,Spring,green
17,"1854 March 26, West Town, to Cousin",Edgar hs recently learned of his acceptance to Haverford College.,1854-03-26,Westtown (Pa.),"Cope, Edgar, 1838-1895","Cope, Ruthanna, 1834-1879","{'lat': 39.94166667, 'long': -75.5563888888889}",39.94166667,-75.5563888888889,1854,3,26,March,Spring,green
18,"1854 March 30, Philadelphia, to Dear Clemmy",,1854-03-30,Philadelphia (Pa.),"Cope, Elizabeth Waln Stokes, 1823-1902","Cope, Clementine, 1835-1903","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1854,3,30,March,Spring,green
19,"1854 October 22, Haverford, to Cousin",,1854-10-22,Haverford (Pa. : Township),"Cope, Edgar, 1838-1895",,"{'lat': 40.01305556, 'long': -75.2941666666667}",40.01305556,-75.2941666666667,1854,10,22,October,Fall,orange
20,"1856 January 19, Philadelphia, to My dear Clemmy",,1856-01-19,Philadelphia (Pa.),"Cope, Elizabeth Waln Stokes, 1823-1902","Cope, Clementine, 1835-1903","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1856,1,19,January,Winter,lightskyblue
22,"1856 June 15, Haverford, to Cousin",,1856-06-15,Haverford (Pa. : Township),"Cope, Edgar, 1838-1895",,"{'lat': 40.01305556, 'long': -75.2941666666667}",40.01305556,-75.2941666666667,1856,6,15,June,Summer,yellow
24,"1856 December 9, Haverford, to Cousin",,1856-12-09,Haverford (Pa. : Township),"Cope, Edgar, 1838-1895",,"{'lat': 40.01305556, 'long': -75.2941666666667}",40.01305556,-75.2941666666667,1856,12,9,December,Winter,lightskyblue
25,"1857 May 2, Philadelphia, to Sister",,1857-05-02,Philadelphia (Pa.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Evans, Rachel Reeve Cope, 1850-1939","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1857,5,2,May,Spring,green
26,"1858 February 2, Woodbourne, to Dear Cousin Annie",,1858-02-02,"Woodbourne (Susquehanna County, Pa.)","Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Cope, Clementine, 1835-1903","Cope, Ruthanna, 1834-1879","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1858,2,2,February,Winter,lightskyblue
27,"1858 March 3, Woodbourne, to My dear Annie",,1858-03-03,"Woodbourne (Susquehanna County, Pa.)","Cope, Clementine, 1835-1903","Cope, Ruthanna, 1834-1879","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1858,3,3,March,Spring,green
28,"1858 April 14, Woodbourne, to My Very Dear Cousin Annie",,1858-04-14,"Woodbourne (Susquehanna County, Pa.)","Cope, Caroline E. (Caroline Elizabeth), 1840-1944","Cope, Ruthanna, 1834-1879","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1858,4,14,April,Spring,green
29,"1858 July 25, Awbury, to My dear girls, Woodbourne",,1858-07-25,"Awbury (Philadelphia, Pa.)","Cope, Elizabeth Waln Stokes, 1823-1902","Cope, Clementine, 1835-1903|Cope, Ruthanna, 1834-1879","{'lat': 40.05055556, 'long': -75.1666666666667}",40.05055556,-75.1666666666667,1858,7,25,July,Summer,yellow
32,"1858 November 20, Woodbourne, to Annie",,1858-11-20,"Woodbourne (Susquehanna County, Pa.)","Cope, Clementine, 1835-1903","Cope, Anna Stewardson Brown, 1822-1916","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1858,11,20,November,Fall,orange
34,"1859 April 23, Philadelphia, to Sister",,1859-04-23,Philadelphia (Pa.),"Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Evans, Rachel Reeve Cope, 1850-1939","{'lat': 39.95222222, 'long': -75.1636111111111}",39.95222222,-75.1636111111111,1859,4,23,April,Spring,green
35,"1859 November 1, Woodbourne, to My poor sick little dear cousin",,1859-11-01,"Woodbourne (Susquehanna County, Pa.)","Cope, Clementine, 1835-1903","Cope, Ruthanna, 1834-1879","{'lat': 41.784172, 'long': -75.895933}",41.784172,-75.895933,1859,11,1,November,Fall,orange
